VULNERABILITY_NAME,SANITIZED_DB_VALUES,UNSANITIZED_DB_VALUES
XssDashboardPhp10Min,,users.username
XssDashboardPhp11Min,orders.grand_total
XssFetchBrandPhp1Min,,brands.brand_id|brands.brand_name
XssFetchCategoriesPhp1Min,,categories.categories_id|categories.categories_name
XssFetchOrderDataPhp1Min,,orders.order_id|orders.order_date|orders.client_name|orders.client_contact|orders.sub_total|orders.vat|orders.total_amount|orders.discount|orders.grand_total|orders.paid|orders.due|orders.payment_type|orders.payment_status
XssFetchOrderPhp1Min,,orders.order_id|orders.order_date|orders.client_name|orders.client_contact
XssFetchProductDataPhp1Min,,product.product_id|product.product_name
XssFetchProductImageUrlPhp1Min,,product.product_image
XssFetchProductPhp1Min,,product.product_id|product.product_name|product.quantity|product.rate|brands.brand_name|categories.categories_name
XssFetchSelectedBrandPhp1Min,,brands.brand_id|brands.brand_name|brands.brand_active|brands.brand_status
XssFetchSelectedCategoriesPhp1Min,,categories.categories_id|categories.categories_name|categories.categories_active|categories.categories_status
XssFetchSelectedProductPhp1Min,,product.product_id|product.product_name|product.product_image|product.brand_id|product.categories_id|product.quantity|product.rate|product.active|product.status
XssFetchSelectedUserPhp1Min,,users.user_id|users.username|users.password|users.email|users.bio
XssFetchUserPhp1Min,,users.username|users.user_id
XssGetOrderReportPhp1Min,,orders.grand_total|orders.order_date|orders.client_name|orders.client_contact
XssOrdersPhp11Min,,product.product_name|product.product_id
XssOrdersPhp20Min,,orders.order_date
XssOrdersPhp21Min,,orders.client_name
XssOrdersPhp22Min,,orders.client_contact
XssOrdersPhp27Min,,product.product_name|product.product_id
XssOrdersPhp29Min,,order_item.rate
XssOrdersPhp31Min,,order_item.rate
XssOrdersPhp32Min,,product.product_id|product.quantity
XssOrdersPhp35Min,,order_item.quantity
XssOrdersPhp37Min,,order_item.total
XssOrdersPhp39Min,,order_item.total
XssOrdersPhp41Min,,orders.sub_total
XssOrdersPhp42Min,,orders.sub_total
XssOrdersPhp43Min,,orders.total_amount
XssOrdersPhp44Min,,orders.total_amount
XssOrdersPhp45Min,,orders.discount
XssOrdersPhp46Min,,orders.grand_total
XssOrdersPhp47Min,,orders.grand_total
XssOrdersPhp50Min,,orders.vat
XssOrdersPhp51Min,,orders.vat
XssOrdersPhp52Min,,orders.gstn
XssOrdersPhp53Min,,orders.paid
XssOrdersPhp54Min,,orders.due
XssOrdersPhp55Min,,orders.due
XssPrintOrderPhp1Min,,orders.sub_total|orders.client_name|orders.gstn|orders.client_contact|orders.order_date|order_item.rate|order_item.quantity|order_item.total|product.product_name
XssProductPhp1Min,,brands.brand_id|brands.brand_name
XssProductPhp2Min,,categories.categories_id|categories.categories_name
XssProductPhp3Min,,brands.brand_id|brands.brand_name
XssProductPhp4Min,,categories.categories_id|categories.categories_name
XssSettingPhp1Min,,users.username
XssSettingPhp2Min,,users.user_id
XssSettingPhp3Min,,users.bio
XssSettingPhp4Min,,users.user_id
XssSettingPhp5Min,,users.user_id
